全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
131181,131181C00001,荒川区,荒川五丁目児童遊園トイレ,アラカワゴチョウメジドウユウエントイレ,,131181,,東京都荒川区荒川5-24-7,東京都,荒川区,荒川5丁目,24-7,,京成線「新三河島」徒歩5分,35.738949,139.773709,,,1,1,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
131181,131181C00002,荒川区,荒川東公園トイレ,アラカワヒガシコウエントイレ,,131181,,東京都荒川区荒川1-4-10,東京都,荒川区,荒川1丁目,4-10,,東京さくらトラム（都電荒川線）「荒川区役所前」徒歩1分,35.735710,139.786462,,,2,2,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
131181,131181C00003,荒川区,新地児童遊園トイレ,シンチジドウユウエントイレ,,131181,,東京都荒川区荒川6-39-1,東京都,荒川区,荒川6丁目,39-1,,東京さくらトラム（都電荒川線）「町屋二丁目」徒歩2分,35.742994,139.777679,,,2,2,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
131181,131181C00004,荒川区,荒川五丁目公園トイレ,アラカワゴチョウメコウエントイレ,,131181,,東京都荒川区荒川5-41-1,東京都,荒川区,荒川5丁目,41-1,,京成線「新三河島」徒歩5分,35.739489,139.776844,,,2,2,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
131181,131181C00005,荒川区,荒川二丁目公園トイレ,アラカワニチョウメコウエントイレ,,131181,,東京都荒川区荒川2-58-2,東京都,荒川区,荒川2丁目,58-2,,東京さくらトラム（都電荒川線）「荒川七丁目」徒歩3分,35.740334,139.782607,,,2,1,0,1,1,0,1,0,0,0,1,有,有,有,,,,,,R7.4中旬使用開始
131181,131181C00006,荒川区,荒川五丁目東児童遊園トイレ,アラカワゴチョウメヒガシジドウユウエントイレ,,131181,,東京都荒川区荒川5-7-2,東京都,荒川区,荒川5丁目,7-2,,京成線「新三河島」徒歩5分,35.738139,139.776574,,,0,0,0,0,0,0,0,0,0,0,1,有,有,有,,,,,,
131181,131181C00007,荒川区,荒川三丁目公園トイレ,アラカワサンチョウメコウエントイレ,,131181,,東京都荒川区荒川3-33-8,東京都,荒川区,荒川3丁目,33-8,,東京さくらトラム（都電荒川線）「荒川区役所前」徒歩7分,35.735121,139.781670,,,1,1,0,0,0,0,0,1,0,1,0,無,無,無,,,,,,
131181,131181C00008,荒川区,花の木児童遊園トイレ,ハナノキジドウユウエントイレ,,131181,,東京都荒川区荒川6-14-3,東京都,荒川区,荒川6丁目,14-3,,東京メトロ千代田線、京成線、東京さくらトラム（都電荒川線）「町屋」徒歩3分,35.741023,139.778306,,,1,1,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
131181,131181C00009,荒川区,荒川自然公園トイレ（テニスコート）,アラカワシゼンコウエントイレ（テニスコート）,,131181,,東京都荒川区荒川8-25-3,東京都,荒川区,荒川8丁目,25-3,,東京さくらトラム（都電荒川線）「荒川二丁目」、コミュニティバスさくら「荒川自然公園入口」下車 徒歩3分;荒川区役所から徒歩5分,35.740687,139.785597,,,5,3,0,2,3,0,3,0,0,0,0,無,有,無,,,,,,R7.4頃使用開始
131181,131181C00010,荒川区,荒川二丁目南公園トイレ,アラカワニチョウメミナミコウエントイレ,,131181,,東京都荒川区荒川2-18-6,東京都,荒川区,荒川2丁目,18-6,,東京さくらトラム（都電荒川線）「荒川二丁目」徒歩3分,35.737530,139.783523,,,3,2,1,0,2,2,0,0,0,0,0,無,無,無,,,,,,
131181,131181C00011,荒川区,荒川自然公園トイレ（アスレチックコーナー）,アラカワシゼンコウエントイレ（アスレチックコーナー）,,131181,,東京都荒川区荒川8-25-3,東京都,荒川区,荒川8丁目,25-3,,東京さくらトラム（都電荒川線）「荒川二丁目」徒歩3分;荒川区役所から徒歩5分,35.740687,139.785597,,,5,3,2,0,3,3,0,0,0,0,0,無,無,無,,,,,,
131181,131181C00012,荒川区,荒川自然公園トイレ（徒渉池）,アラカワシゼンコウエントイレ（トショウチ）,,131181,,東京都荒川区荒川8-25-3,東京都,荒川区,荒川8丁目,25-3,,東京さくらトラム（都電荒川線）「荒川二丁目」 徒歩3分;荒川区役所から徒歩5分,35.740687,139.785597,,,5,3,1,1,3,2,1,0,0,0,0,無,無,無,,,,,,
131181,131181C00013,荒川区,三河島第二児童遊園トイレ,ミカワシマダイニジドウユウエントイレ,,131181,,東京都荒川区荒川2-31-7,東京都,荒川区,荒川2丁目,31-7,,東京さくらトラム（都電荒川線）「荒川二丁目」徒歩3分,35.738625,139.781882,,,1,1,0,0,0,0,0,0,0,0,1,有,有,有,,,,,,
131181,131181C00014,荒川区,峡田児童遊園トイレ,ハケタジドウユウエントイレ,,131181,,東京都荒川区荒川1-55-2,東京都,荒川区,荒川1丁目,55-2,,東京さくらトラム（都電荒川線）「荒川一中前」徒歩4分,35.732874,139.786034,,,1,1,0,0,0,0,0,0,0,0,1,有,無,有,,,,,,
131181,131181C00015,荒川区,三河島公園トイレ,ミカワシマコウエントイレ,,131181,,東京都荒川区荒川8-25-2,東京都,荒川区,荒川8丁目,25-2,,東京さくらトラム（都電荒川線）「荒川二丁目」徒歩3分,35.742178,139.787657,,,1,1,0,0,0,0,0,0,0,0,1,有,有,有,,,,,,
131181,131181C00016,荒川区,荒川公園トイレ（北）,アラカワコウエントイレ（キタ）,,131181,,東京都荒川区荒川2-2-3,東京都,荒川区,荒川2丁目,2-3,,東京さくらトラム（都電荒川線）「荒川区役所前」徒歩5分,35.736149,139.783420,,,1,1,0,0,0,0,0,0,0,0,1,有,有,有,,,,,,
131181,131181C00017,荒川区,荒川公園トイレ（南）,アラカワコウエントイレ（ミナミ）,,131181,,東京都荒川区荒川2-2-3,東京都,荒川区,荒川2丁目,2-3,,東京さくらトラム（都電荒川線）「荒川区役所前」徒歩5分,35.736149,139.783420,,,6,4,1,1,4,1,3,0,0,0,1,有,有,有,,,,,,
131181,131181C00018,荒川区,荒川自然公園トイレ（野球場）,アラカワシゼンコウエントイレ（ヤキュウジョウ）,,131181,,東京都荒川区荒川8-25-3,東京都,荒川区,荒川8丁目,25-3,,東京さくらトラム（都電荒川線）「荒川二丁目」徒歩3分;荒川区役所から徒歩5分,35.740687,139.785597,,,3,2,0,1,1,0,1,0,0,0,2,有,有,有,,,,,,
131181,131181C00019,荒川区,荒川自然公園トイレ（管理事務所）,アラカワシゼンコウエントイレ（カンリジムショ）,,131181,,東京都荒川区荒川8-25-3,東京都,荒川区,荒川8丁目,25-3,,東京さくらトラム（都電荒川線）「荒川二丁目」徒歩3分;荒川区役所から徒歩5分,35.740687,139.785597,,,2,2,0,0,1,1,0,0,0,0,2,有,有,有,,,,,,
131181,131181C00020,荒川区,荒川自然公園トイレ（交通園）,アラカワシゼンコウエントイレ（コウツウエン）,,131181,,東京都荒川区荒川8-25-3,東京都,荒川区,荒川8丁目,25-3,,東京さくらトラム（都電荒川線）「荒川二丁目」徒歩6分;荒川区役所から徒歩5分,35.740687,139.785597,,,2,1,1,0,4,3,1,0,0,0,1,有,有,無,,,,,,
131181,131181C00021,荒川区,町屋五丁目南公園トイレ,マチヤゴチョウメミナミコウエントイレ,,131181,,東京都荒川区町屋5-11-20,東京都,荒川区,町屋5丁目,11-20,,東京さくらトラム（都電荒川線）「町屋二丁目」徒歩12分;東京さくらトラム（都電荒川線）「東尾久三丁目」徒歩12分;東京さくらトラム（都電荒川線）「熊野前」徒歩13分,35.750758,139.779050,,,2,2,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
131181,131181C00022,荒川区,町屋五丁目北公園トイレ,マチヤゴチョウメキタコウエントイレ,,131181,,東京都荒川区町屋5-17-3,東京都,荒川区,町屋5丁目,17-3,,東京さくらトラム（都電荒川線）「町屋二丁目」徒歩14分;東京さくらトラム（都電荒川線）「東尾久三丁目」徒歩14分;東京メトロ千代田線「町屋」徒歩14分,35.751676,139.779865,,,2,2,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
